periodConcept,Relation,ConceptLevel,Start Age£¨Ma£©,Bottom Time Uncertainty(Ma),End Age(Ma),Top Time Uncertainty(Ma),Version,positionCoding,Part of,Labal,Publication_year,
Varanger,inScheme,Epoch,290,unspecified,unspecified,unspecified,NE1987(GTS1989),04_22_11_11_22,HistoryOfEarth,VarangerNE1987(GTS1989),1987,
Ediacara,inScheme,Epoch,unspecified,unspecified,unspecified,unspecified,NE1987(GTS1989),04_22_11_11_21,HistoryOfEarth,EdiacaraNE1987(GTS1989),1987,
Caerfai,inScheme,Epoch,unspecified,unspecified,unspecified,unspecified,NE1987(GTS1989),04_21_33_66_33,HistoryOfEarth,CaerfaiNE1987(GTS1989),1987,
St David's,inScheme,Epoch,unspecified,unspecified,unspecified,unspecified,NE1987(GTS1989),04_21_33_66_32,HistoryOfEarth,St David'sNE1987(GTS1989),1987,
Merioneth,inScheme,Epoch,unspecified,unspecified,500,unspecified,NE1987(GTS1989),04_21_33_66_31,HistoryOfEarth,MerionethNE1987(GTS1989),1987,
Tremadoc,inScheme,Epoch,500,unspecified,unspecified,unspecified,NE1987(GTS1989),04_21_33_65_66,HistoryOfEarth,TremadocNE1987(GTS1989),1987,
Arenig,inScheme,Epoch,unspecified,unspecified,480,unspecified,NE1987(GTS1989),04_21_33_65_65,HistoryOfEarth,ArenigNE1987(GTS1989),1987,
Llanvirn,inScheme,Epoch,480,unspecified,unspecified,unspecified,NE1987(GTS1989),04_21_33_65_64,HistoryOfEarth,LlanvirnNE1987(GTS1989),1987,
Llandeilo,inScheme,Epoch,unspecified,unspecified,460,unspecified,NE1987(GTS1989),04_21_33_65_63,HistoryOfEarth,LlandeiloNE1987(GTS1989),1987,
Caradoc,inScheme,Epoch,460,unspecified,449,unspecified,NE1987(GTS1989),04_21_33_65_62,HistoryOfEarth,CaradocNE1987(GTS1989),1987,
Ashgill,inScheme,Epoch,449,unspecified,440,unspecified,NE1987(GTS1989),04_21_33_65_61,HistoryOfEarth,AshgillNE1987(GTS1989),1987,
Llandovery,inScheme,Epoch,440,unspecified,unspecified,unspecified,NE1987(GTS1989),04_21_33_64_44,HistoryOfEarth,LlandoveryNE1987(GTS1989),1987,
Wenlock,inScheme,Epoch,unspecified,unspecified,unspecified,unspecified,NE1987(GTS1989),04_21_33_64_43,HistoryOfEarth,WenlockNE1987(GTS1989),1987,
Ludlow,inScheme,Epoch,unspecified,unspecified,unspecified,unspecified,NE1987(GTS1989),04_21_33_64_42,HistoryOfEarth,LudlowNE1987(GTS1989),1987,
Pridoli,inScheme,Epoch,unspecified,unspecified,410,unspecified,NE1987(GTS1989),04_21_33_64_41,HistoryOfEarth,PridoliNE1987(GTS1989),1987,
EarlyDevonian,inScheme,Epoch,410,unspecified,390,unspecified,NE1987(GTS1989),04_21_33_63_33,HistoryOfEarth,EarlyDevonianNE1987(GTS1989),1987,
MidDevonian,inScheme,Epoch,390,unspecified,376,unspecified,NE1987(GTS1989),04_21_33_63_32,HistoryOfEarth,MidDevonianNE1987(GTS1989),1987,
LateDevonian,inScheme,Epoch,376,unspecified,360,unspecified,NE1987(GTS1989),04_21_33_63_31,HistoryOfEarth,LateDevonianNE1987(GTS1989),1987,
Tournaisian,inScheme,Epoch,360,unspecified,352,unspecified,NE1987(GTS1989),04_21_33_62_(22)_33,HistoryOfEarth,TournaisianNE1987(GTS1989),1987,
Visean,inScheme,Epoch,352,unspecified,336,unspecified,NE1987(GTS1989),04_21_33_62_(22)_32,HistoryOfEarth,ViseanNE1987(GTS1989),1987,
Serpukhovian,inScheme,Epoch,336,unspecified,325,unspecified,NE1987(GTS1989),04_21_33_62_(22)_31,HistoryOfEarth,SerpukhovianNE1987(GTS1989),1987,
Bashkirian,inScheme,Epoch,325,unspecified,314,unspecified,NE1987(GTS1989),04_21_33_62_(21)_44,HistoryOfEarth,BashkirianNE1987(GTS1989),1987,
Moscovian,inScheme,Epoch,314,unspecified,unspecified,unspecified,NE1987(GTS1989),04_21_33_62_(21)_43,HistoryOfEarth,MoscovianNE1987(GTS1989),1987,
Kasimovian,inScheme,Epoch,unspecified,unspecified,unspecified,unspecified,NE1987(GTS1989),04_21_33_62_(21)_42,HistoryOfEarth,KasimovianNE1987(GTS1989),1987,
Gzelian,inScheme,Epoch,unspecified,unspecified,290,unspecified,NE1987(GTS1989),04_21_33_62_(21)_41,HistoryOfEarth,GzelianNE1987(GTS1989),1987,
Rotliegendes,inScheme,Epoch,290,unspecified,270,unspecified,NE1987(GTS1989),04_21_33_61_22,HistoryOfEarth,RotliegendesNE1987(GTS1989),1987,
Zechstein,inScheme,Epoch,270,unspecified,250,unspecified,NE1987(GTS1989),04_21_33_61_21,HistoryOfEarth,ZechsteinNE1987(GTS1989),1987,
EarlyTriassic /Scythian,inScheme,Epoch,250,unspecified,243,unspecified,NE1987(GTS1989),04_21_32_33_33,HistoryOfEarth,EarlyTriassic /ScythianNE1987(GTS1989),1987,
MiddleTriassic ,inScheme,Epoch,243,unspecified,230,unspecified,NE1987(GTS1989),04_21_32_33_32,HistoryOfEarth,MiddleTriassic NE1987(GTS1989),1987,
LateTriassic ,inScheme,Epoch,230,unspecified,210,unspecified,NE1987(GTS1989),04_21_32_33_31,HistoryOfEarth,LateTriassic NE1987(GTS1989),1987,
Lias,inScheme,Epoch,210,unspecified,184,unspecified,NE1987(GTS1989),04_21_32_32_33,HistoryOfEarth,LiasNE1987(GTS1989),1987,
Dogger,inScheme,Epoch,184,unspecified,150,unspecified,NE1987(GTS1989),04_21_32_32_32,HistoryOfEarth,DoggerNE1987(GTS1989),1987,
Malm,inScheme,Epoch,150,unspecified,140,unspecified,NE1987(GTS1989),04_21_32_32_31,HistoryOfEarth,MalmNE1987(GTS1989),1987,
EarlyCretaceous,inScheme,Epoch,140,unspecified,97.5,unspecified,NE1987(GTS1989),04_21_32_31_22,HistoryOfEarth,EarlyCretaceousNE1987(GTS1989),1987,
Gulf,inScheme,Epoch,97.5,unspecified,66,unspecified,NE1987(GTS1989),04_21_32_31_21,HistoryOfEarth,GulfNE1987(GTS1989),1987,
Paleocene,inScheme,Epoch,66,unspecified,55,unspecified,NE1987(GTS1989),04_21_31_33_33,HistoryOfEarth,PaleoceneNE1987(GTS1989),1987,
Eocene ,inScheme,Epoch,55,unspecified,36,unspecified,NE1987(GTS1989),04_21_31_33_32,HistoryOfEarth,Eocene NE1987(GTS1989),1987,
Oligocene,inScheme,Epoch,36,unspecified,24,unspecified,NE1987(GTS1989),04_21_31_33_31,HistoryOfEarth,OligoceneNE1987(GTS1989),1987,
Miocene,inScheme,Epoch,24,unspecified,5.1,unspecified,NE1987(GTS1989),04_21_31_32_22,HistoryOfEarth,MioceneNE1987(GTS1989),1987,
Pliocene,inScheme,Epoch,5.1,unspecified,1.67,unspecified,NE1987(GTS1989),04_21_31_32_21,HistoryOfEarth,PlioceneNE1987(GTS1989),1987,
Pleistocene,inScheme,Epoch,1.67,unspecified,unspecified,unspecified,NE1987(GTS1989),04_21_31_31_22,HistoryOfEarth,PleistoceneNE1987(GTS1989),1987,
Holocene,inScheme,Epoch,unspecified,unspecified,336,unspecified,NE1987(GTS1989),04_21_31_31_21,HistoryOfEarth,HoloceneNE1987(GTS1989),1987,
Guadalupian,inScheme,SubEpoch,290,unspecified,unspecified,unspecified,NE1987(GTS1989),04_21_33_61_21_(22),HistoryOfEarth,GuadalupianNE1987(GTS1989),1987,
Lopingian,inScheme,SubEpoch,unspecified,unspecified,140,unspecified,NE1987(GTS1989),04_21_33_61_21_(21),HistoryOfEarth,LopingianNE1987(GTS1989),1987,
Neocomian,inScheme,SubEpoch,250,unspecified,unspecified,unspecified,NE1987(GTS1989),04_21_32_31_22_(22),HistoryOfEarth,NeocomianNE1987(GTS1989),1987,
Senionian,inScheme,SubEpoch,unspecified,unspecified,unspecified,unspecified,NE1987(GTS1989),04_21_32_31_21_(21),HistoryOfEarth,SenionianNE1987(GTS1989),1987,
Gallic,inScheme,SubEpoch,unspecified,unspecified,55,unspecified,NE1987(GTS1989),04_21_32_31_32_(11),HistoryOfEarth,GallicNE1987(GTS1989),1987,
EarlyEocene ,inScheme,SubEpoch,66,unspecified,50,unspecified,NE1987(GTS1989),04_21_31_33_32_(33),HistoryOfEarth,EarlyEocene NE1987(GTS1989),1987,
MiddleEocene ,inScheme,SubEpoch,50,unspecified,40,unspecified,NE1987(GTS1989),04_21_31_33_32_(32),HistoryOfEarth,MiddleEocene NE1987(GTS1989),1987,
LateEocene ,inScheme,SubEpoch,40,unspecified,36,unspecified,NE1987(GTS1989),04_21_31_33_32_(31),HistoryOfEarth,LateEocene NE1987(GTS1989),1987,
EarlyOligocene ,inScheme,SubEpoch,36,unspecified,unspecified,unspecified,NE1987(GTS1989),04_21_31_33_31_(22),HistoryOfEarth,EarlyOligocene NE1987(GTS1989),1987,
LateOligocene ,inScheme,SubEpoch,unspecified,unspecified,24,unspecified,NE1987(GTS1989),04_21_31_33_31_(21),HistoryOfEarth,LateOligocene NE1987(GTS1989),1987,
EarlyMiocene ,inScheme,SubEpoch,24,unspecified,unspecified,unspecified,NE1987(GTS1989),04_21_31_32_22_(33),HistoryOfEarth,EarlyMiocene NE1987(GTS1989),1987,
MiddleMiocene ,inScheme,SubEpoch,unspecified,unspecified,unspecified,unspecified,NE1987(GTS1989),04_21_31_32_22_(32),HistoryOfEarth,MiddleMiocene NE1987(GTS1989),1987,
LateMiocene ,inScheme,SubEpoch,unspecified,unspecified,unspecified,unspecified,NE1987(GTS1989),04_21_31_32_22_(31),HistoryOfEarth,LateMiocene NE1987(GTS1989),1987,
Precambrian,inScheme,Super-Eon,unspecified,unspecified,542,unspecified,GSA2009,05_(22),HistoryOfEarth,PrecambrianGSA2009,2009,
Hadean,inScheme,Eon,unspecified,unspecified,3850,unspecified,GSA2009,05_44,HistoryOfEarth,HadeanGSA2009,2009,
Archean,inScheme,Eon,3850,unspecified,2500,unspecified,GSA2009,05_43,HistoryOfEarth,ArcheanGSA2009,2009,
Proterozoic,inScheme,Eon,2500,unspecified,542,unspecified,GSA2009,05_42,HistoryOfEarth,ProterozoicGSA2009,2009,
Phanerozoic,inScheme,Eon,542,unspecified,0,0,GSA2009,05_41,HistoryOfEarth,PhanerozoicGSA2009,2009,
Eoarchean,inScheme,Era,3850,unspecified,3600,unspecified,GSA2009,05_43_44,HistoryOfEarth,EoarcheanGSA2009,2009,
Paleoarchean,inScheme,Era,3600,unspecified,3200,unspecified,GSA2009,05_43_43,HistoryOfEarth,PaleoarcheanGSA2009,2009,
Mesoarchean,inScheme,Era,3200,unspecified,2800,unspecified,GSA2009,05_43_42,HistoryOfEarth,MesoarcheanGSA2009,2009,
Neoarchean,inScheme,Era,2800,unspecified,2500,unspecified,GSA2009,05_43_41,HistoryOfEarth,NeoarcheanGSA2009,2009,
Paleoproterozoic,inScheme,Era,2500,unspecified,1600,unspecified,GSA2009,05_42_33,HistoryOfEarth,PaleoproterozoicGSA2009,2009,
Mesoproterozoic,inScheme,Era,1600,unspecified,1000,unspecified,GSA2009,05_42_32,HistoryOfEarth,MesoproterozoicGSA2009,2009,
Neoproterozoic,inScheme,Era,1000,unspecified,542,unspecified,GSA2009,05_42_31,HistoryOfEarth,NeoproterozoicGSA2009,2009,
Paleozoic,inScheme,Era,542,unspecified,251,unspecified,GSA2009,05_41_33,HistoryOfEarth,PaleozoicGSA2009,2009,
Mesozoic,inScheme,Era,251,unspecified,66.5,unspecified,GSA2009,05_41_32,HistoryOfEarth,MesozoicGSA2009,2009,
Cenozoic,inScheme,Era,66.5,unspecified,0,0,GSA2009,05_41_31,HistoryOfEarth,CenozoicGSA2009,2009,
Siderian,inScheme,Period,2500,unspecified,2300,unspecified,GSA2009,05_42_33_44,HistoryOfEarth,SiderianGSA2009,2009,
Rhyacian,inScheme,Period,2300,unspecified,2050,unspecified,GSA2009,05_42_33_43,HistoryOfEarth,RhyacianGSA2009,2009,
Orosirian,inScheme,Period,2050,unspecified,1800,unspecified,GSA2009,05_42_33_42,HistoryOfEarth,OrosirianGSA2009,2009,
Statherian,inScheme,Period,1800,unspecified,1600,unspecified,GSA2009,05_42_33_41,HistoryOfEarth,StatherianGSA2009,2009,
Calymmian,inScheme,Period,1600,unspecified,1400,unspecified,GSA2009,05_42_32_33,HistoryOfEarth,CalymmianGSA2009,2009,
Ectasian,inScheme,Period,1400,unspecified,1200,unspecified,GSA2009,05_42_32_32,HistoryOfEarth,EctasianGSA2009,2009,
Stenian,inScheme,Period,1200,unspecified,1000,unspecified,GSA2009,05_42_32_31,HistoryOfEarth,StenianGSA2009,2009,
Tonian,inScheme,Period,1000,unspecified,850,unspecified,GSA2009,05_41_31_33,HistoryOfEarth,TonianGSA2009,2009,
Cryogenian,inScheme,Period,850,unspecified,630,unspecified,GSA2009,05_41_31_32,HistoryOfEarth,CryogenianGSA2009,2009,
Ediacaran,inScheme,Period,630,unspecified,542,unspecified,GSA2009,05_41_31_31,HistoryOfEarth,EdiacaranGSA2009,2009,
Cambrian,inScheme,Period,542,unspecified,488,unspecified,GSA2009,05_41_33_66,HistoryOfEarth,CambrianGSA2009,2009,
Ordovician,inScheme,Period,488,unspecified,444,unspecified,GSA2009,05_41_33_65,HistoryOfEarth,OrdovicianGSA2009,2009,
Silurian,inScheme,Period,444,unspecified,416,unspecified,GSA2009,05_41_33_64,HistoryOfEarth,SilurianGSA2009,2009,
Devonian,inScheme,Period,416,unspecified,359,unspecified,GSA2009,05_41_33_63,HistoryOfEarth,DevonianGSA2009,2009,
Carboniferous,inScheme,Period,359,unspecified,299,unspecified,GSA2009,05_41_33_62,HistoryOfEarth,CarboniferousGSA2009,2009,
Permian,inScheme,Period,299,unspecified,251,unspecified,GSA2009,05_41_33_61,HistoryOfEarth,PermianGSA2009,2009,
Triassic,inScheme,Period,251,unspecified,201.6,unspecified,GSA2009,05_41_32_33,HistoryOfEarth,TriassicGSA2009,2009,
Jurassic,inScheme,Period,201.6,unspecified,145.5,unspecified,GSA2009,05_41_32_32,HistoryOfEarth,JurassicGSA2009,2009,
Cretaceous,inScheme,Period,145.5,unspecified,65.5,unspecified,GSA2009,05_41_32_31,HistoryOfEarth,CretaceousGSA2009,2009,
Tertiary,inScheme,Period,65.5,unspecified,2.6,unspecified,GSA2009,05_41_31_22,HistoryOfEarth,TertiaryGSA2009,2009,
Quaternary,inScheme,Period,2.6,unspecified,0,0,GSA2009,05_41_31_21,HistoryOfEarth,QuaternaryGSA2009,2009,
Paleogene,inScheme,Subperiod,65.5,unspecified,23,unspecified,GSA2009,05_41_31_22_(22),HistoryOfEarth,PaleogeneGSA2009,2009,
Neogene,inScheme,Subperiod,23,unspecified,2.6,unspecified,GSA2009,05_41_31_22_(21),HistoryOfEarth,NeogeneGSA2009,2009,
Terreneuvian,inScheme,Epoch,542,unspecified,521,unspecified,GSA2009,05_41_33_66_44,HistoryOfEarth,TerreneuvianGSA2009,2009,
Series2,inScheme,Epoch,521,unspecified,510,unspecified,GSA2009,05_41_33_66_43,HistoryOfEarth,Series2GSA2009,2009,
Series3,inScheme,Epoch,510,unspecified,501,unspecified,GSA2009,05_41_33_66_42,HistoryOfEarth,Series3GSA2009,2009,
Furongian,inScheme,Epoch,501,unspecified,488,unspecified,GSA2009,05_41_33_66_41,HistoryOfEarth,FurongianGSA2009,2009,
EarlyOrdovician,inScheme,Epoch,488,unspecified,472,unspecified,GSA2009,05_41_33_65_33,HistoryOfEarth,EarlyOrdovicianGSA2009,2009,
MiddleOrdovician,inScheme,Epoch,472,unspecified,461,unspecified,GSA2009,05_41_33_65_32,HistoryOfEarth,MiddleOrdovicianGSA2009,2009,
LateOrdovician,inScheme,Epoch,461,unspecified,444,unspecified,GSA2009,05_41_33_65_31,HistoryOfEarth,LateOrdovicianGSA2009,2009,
EarlySilurian,inScheme,Epoch,444,unspecified,428,unspecified,GSA2009,05_41_33_64_33,HistoryOfEarth,EarlySilurianGSA2009,2009,
MiddleSilurian,inScheme,Epoch,428,unspecified,423,unspecified,GSA2009,05_41_33_64_32,HistoryOfEarth,MiddleSilurianGSA2009,2009,
LateSilurian,inScheme,Epoch,423,unspecified,416,unspecified,GSA2009,05_41_33_64_31,HistoryOfEarth,LateSilurianGSA2009,2009,
EarlyDevonian,inScheme,Epoch,416,unspecified,398,unspecified,GSA2009,05_41_33_63_33,HistoryOfEarth,EarlyDevonianGSA2009,2009,
MiddleDevonian,inScheme,Epoch,398,unspecified,385,unspecified,GSA2009,05_41_33_63_32,HistoryOfEarth,MiddleDevonianGSA2009,2009,
LateDevonian,inScheme,Epoch,385,unspecified,359,unspecified,GSA2009,05_41_33_63_31,HistoryOfEarth,LateDevonianGSA2009,2009,
Mississippian,inScheme,Epoch,359,unspecified,318,unspecified,GSA2009,05_41_33_62_22,HistoryOfEarth,MississippianGSA2009,2009,
Pennsylvanian,inScheme,Epoch,318,unspecified,299,unspecified,GSA2009,05_41_33_62_21,HistoryOfEarth,PennsylvanianGSA2009,2009,
EarlyPermian,inScheme,Epoch,299,unspecified,271,unspecified,GSA2009,05_41_33_61_33,HistoryOfEarth,EarlyPermianGSA2009,2009,
MiddlePermian,inScheme,Epoch,271,unspecified,260,unspecified,GSA2009,05_41_33_61_32,HistoryOfEarth,MiddlePermianGSA2009,2009,
LatePermian,inScheme,Epoch,260,unspecified,251,unspecified,GSA2009,05_41_33_61_31,HistoryOfEarth,LatePermianGSA2009,2009,
EarlyTriassic,inScheme,Epoch,251,unspecified,245,unspecified,GSA2009,05_41_32_33_33,HistoryOfEarth,EarlyTriassicGSA2009,2009,
MiddleTriassic,inScheme,Epoch,245,unspecified,235,unspecified,GSA2009,05_41_32_33_32,HistoryOfEarth,MiddleTriassicGSA2009,2009,
LateTriassic,inScheme,Epoch,235,unspecified,201.6,unspecified,GSA2009,05_41_32_33_31,HistoryOfEarth,LateTriassicGSA2009,2009,
EarlyJurassic,inScheme,Epoch,201.6,unspecified,176,unspecified,GSA2009,05_41_32_32_33,HistoryOfEarth,EarlyJurassicGSA2009,2009,
MiddleJurassic,inScheme,Epoch,176,unspecified,161,unspecified,GSA2009,05_41_32_32_32,HistoryOfEarth,MiddleJurassicGSA2009,2009,
LateJurassic,inScheme,Epoch,161,unspecified,145.5,unspecified,GSA2009,05_41_32_32_31,HistoryOfEarth,LateJurassicGSA2009,2009,
EarlyCretaceous,inScheme,Epoch,145.5,unspecified,99.6,unspecified,GSA2009,05_41_32_31_22,HistoryOfEarth,EarlyCretaceousGSA2009,2009,
LateCretaceous,inScheme,Epoch,99.6,unspecified,65.5,unspecified,GSA2009,05_41_32_31_21,HistoryOfEarth,LateCretaceousGSA2009,2009,
Paleocene,inScheme,Epoch,65.5,unspecified,55.8,unspecified,GSA2009,05_41_31_22_(22)_33,HistoryOfEarth,PaleoceneGSA2009,2009,
Eocene,inScheme,Epoch,55.8,unspecified,33.9,unspecified,GSA2009,05_41_31_22_(22)_32,HistoryOfEarth,EoceneGSA2009,2009,
Oligocene,inScheme,Epoch,33.9,unspecified,23,unspecified,GSA2009,05_41_31_22_(22)_31,HistoryOfEarth,OligoceneGSA2009,2009,
Miocene,inScheme,Epoch,23,unspecified,5.3,unspecified,GSA2009,05_41_31_22_(21)_22,HistoryOfEarth,MioceneGSA2009,2009,
Pliocene,inScheme,Epoch,5.3,unspecified,2.6,unspecified,GSA2009,05_41_31_22_(21)_21,HistoryOfEarth,PlioceneGSA2009,2009,
Pleistocene,inScheme,Epoch,2.6,unspecified,0.01,unspecified,GSA2009,05_41_31_21_22,HistoryOfEarth,PleistoceneGSA2009,2009,
Holocene,inScheme,Epoch,0.01,unspecified,0,0,GSA2009,05_41_31_21_21,HistoryOfEarth,HoloceneGSA2009,2009,
EarlyPaleocene,inScheme,Subepoch,66.5,unspecified,61.7,unspecified,GSA2009,05_41_31_22_(22)_33_33,HistoryOfEarth,EarlyPaleoceneGSA2009,2009,
MiddlePaleocene,inScheme,Subepoch,61.7,unspecified,58.7,unspecified,GSA2009,05_41_31_22_(22)_33_32,HistoryOfEarth,MiddlePaleoceneGSA2009,2009,
LatePaleocene,inScheme,Subepoch,58.7,unspecified,55.8,unspecified,GSA2009,05_41_31_22_(22)_33_31,HistoryOfEarth,LatePaleoceneGSA2009,2009,
EarlyEocene,inScheme,Subepoch,55.8,unspecified,48.6,unspecified,GSA2009,05_41_31_22_(22)_32_33,HistoryOfEarth,EarlyEoceneGSA2009,2009,
MiddleEocene,inScheme,Subepoch,48.6,unspecified,37.2,unspecified,GSA2009,05_41_31_22_(22)_32_32,HistoryOfEarth,MiddleEoceneGSA2009,2009,
LateEocene,inScheme,Subepoch,37.2,unspecified,33.9,unspecified,GSA2009,05_41_31_22_(22)_32_31,HistoryOfEarth,LateEoceneGSA2009,2009,
EarlyOligocene,inScheme,Subepoch,33.9,unspecified,28.4,unspecified,GSA2009,05_41_31_22_(22)_31_22,HistoryOfEarth,EarlyOligoceneGSA2009,2009,
LateOligocene,inScheme,Subepoch,28.4,unspecified,23,unspecified,GSA2009,05_41_31_22_(22)_31_21,HistoryOfEarth,LateOligoceneGSA2009,2009,
EarlyMiocene,inScheme,Subepoch,23,unspecified,16,unspecified,GSA2009,05_41_32_31_22_33,HistoryOfEarth,EarlyMioceneGSA2009,2009,
MiddleMiocene,inScheme,Subepoch,16,unspecified,11.6,unspecified,GSA2009,05_41_32_31_22_32,HistoryOfEarth,MiddleMioceneGSA2009,2009,
LateMiocene,inScheme,Subepoch,11.6,unspecified,5.3,unspecified,GSA2009,05_41_32_31_22_31,HistoryOfEarth,LateMioceneGSA2009,2009,
Fortunian,inScheme,Age,542,unspecified,535,unspecified,GSA2009,05_41_33_66_44_22,HistoryOfEarth,FortunianGSA2009,2009,
Stage2,inScheme,Age,535,unspecified,521,unspecified,GSA2009,05_41_33_66_44_21,HistoryOfEarth,Stage2GSA2009,2009,
Stage3,inScheme,Age,521,unspecified,517,unspecified,GSA2009,05_41_33_66_43_22,HistoryOfEarth,Stage3GSA2009,2009,
Stge4,inScheme,Age,517,unspecified,510,unspecified,GSA2009,05_41_33_66_43_21,HistoryOfEarth,Stge4GSA2009,2009,
Stge5,inScheme,Age,510,unspecified,507,unspecified,GSA2009,05_41_33_66_42_33,HistoryOfEarth,Stge5GSA2009,2009,
Drumian,inScheme,Age,507,unspecified,503,unspecified,GSA2009,05_41_33_66_42_32,HistoryOfEarth,DrumianGSA2009,2009,
Guzhanggian,inScheme,Age,503,unspecified,501,unspecified,GSA2009,05_41_33_66_42_31,HistoryOfEarth,GuzhanggianGSA2009,2009,
Paibian,inScheme,Age,501,unspecified,496,unspecified,GSA2009,05_41_33_66_41_33,HistoryOfEarth,PaibianGSA2009,2009,
Stage9,inScheme,Age,496,unspecified,492,unspecified,GSA2009,05_41_33_66_41_32,HistoryOfEarth,Stage9GSA2009,2009,
Stge10,inScheme,Age,492,unspecified,488,unspecified,GSA2009,05_41_33_66_41_31,HistoryOfEarth,Stge10GSA2009,2009,
Tremadocian,inScheme,Age,488,unspecified,479,unspecified,GSA2009,05_41_33_65_33_22,HistoryOfEarth,TremadocianGSA2009,2009,
Floian,inScheme,Age,479,unspecified,472,unspecified,GSA2009,05_41_33_65_33_21,HistoryOfEarth,FloianGSA2009,2009,
Dapingian,inScheme,Age,472,unspecified,468,unspecified,GSA2009,05_41_33_65_32_22,HistoryOfEarth,DapingianGSA2009,2009,
Darriwilian,inScheme,Age,468,unspecified,461,unspecified,GSA2009,05_41_33_65_32_21,HistoryOfEarth,DarriwilianGSA2009,2009,
Sandbian,inScheme,Age,461,unspecified,455,unspecified,GSA2009,05_41_33_65_31_33,HistoryOfEarth,SandbianGSA2009,2009,
Katian,inScheme,Age,455,unspecified,446,unspecified,GSA2009,05_41_33_65_31_32,HistoryOfEarth,KatianGSA2009,2009,
Hirnantian,inScheme,Age,446,unspecified,444,unspecified,GSA2009,05_41_33_65_31_31,HistoryOfEarth,HirnantianGSA2009,2009,
Rhuddanian,inScheme,Age,444,unspecified,439,unspecified,GSA2009,05_41_33_64_44_33,HistoryOfEarth,RhuddanianGSA2009,2009,
Aeronian,inScheme,Age,439,unspecified,436,unspecified,GSA2009,05_41_33_64_44_32,HistoryOfEarth,AeronianGSA2009,2009,
Telychian,inScheme,Age,436,unspecified,428,unspecified,GSA2009,05_41_33_64_44_31,HistoryOfEarth,TelychianGSA2009,2009,
Sheinwoodian,inScheme,Age,428,unspecified,426,unspecified,GSA2009,05_41_33_64_43_22,HistoryOfEarth,SheinwoodianGSA2009,2009,
Homerian,inScheme,Age,426,unspecified,423,unspecified,GSA2009,05_41_33_64_43_21,HistoryOfEarth,HomerianGSA2009,2009,
Gorstian,inScheme,Age,423,unspecified,421,unspecified,GSA2009,05_41_33_64_42_22,HistoryOfEarth,GorstianGSA2009,2009,
Ludfordian,inScheme,Age,421,unspecified,419,unspecified,GSA2009,05_41_33_64_42_21,HistoryOfEarth,LudfordianGSA2009,2009,
Pridolian,inScheme,Age,419,unspecified,416,unspecified,GSA2009,05_41_33_64_41_11,HistoryOfEarth,PridolianGSA2009,2009,
Lockhovian,inScheme,Age,416,unspecified,411,unspecified,GSA2009,05_41_33_63_33_33,HistoryOfEarth,LockhovianGSA2009,2009,
Pragian,inScheme,Age,411,unspecified,407,unspecified,GSA2009,05_41_33_63_33_32,HistoryOfEarth,PragianGSA2009,2009,
Emsian,inScheme,Age,407,unspecified,398,unspecified,GSA2009,05_41_33_63_33_31,HistoryOfEarth,EmsianGSA2009,2009,
Eifelian,inScheme,Age,398,unspecified,392,unspecified,GSA2009,05_41_33_63_32_22,HistoryOfEarth,EifelianGSA2009,2009,
Givetian,inScheme,Age,392,unspecified,385,unspecified,GSA2009,05_41_33_63_32_21,HistoryOfEarth,GivetianGSA2009,2009,
Frasnian,inScheme,Age,385,unspecified,374,unspecified,GSA2009,05_41_33_63_31_22,HistoryOfEarth,FrasnianGSA2009,2009,
Famennian,inScheme,Age,374,unspecified,359,unspecified,GSA2009,05_41_33_63_31_21,HistoryOfEarth,FamennianGSA2009,2009,
Tournaisian,inScheme,Age,359,unspecified,345,unspecified,GSA2009,05_41_33_62_22_33,HistoryOfEarth,TournaisianGSA2009,2009,
Visean,inScheme,Age,345,unspecified,326,unspecified,GSA2009,05_41_33_62_22_32,HistoryOfEarth,ViseanGSA2009,2009,
Serpukhovian,inScheme,Age,326,unspecified,318,unspecified,GSA2009,05_41_33_62_22_31,HistoryOfEarth,SerpukhovianGSA2009,2009,
Bashkirian,inScheme,Age,318,unspecified,312,unspecified,GSA2009,05_41_33_62_21_44,HistoryOfEarth,BashkirianGSA2009,2009,
Moscovian,inScheme,Age,312,unspecified,306,unspecified,GSA2009,05_41_33_62_21_43,HistoryOfEarth,MoscovianGSA2009,2009,
Kasimovian,inScheme,Age,306,unspecified,304,unspecified,GSA2009,05_41_33_62_21_42,HistoryOfEarth,KasimovianGSA2009,2009,
Gzelian,inScheme,Age,304,unspecified,299,unspecified,GSA2009,05_41_33_62_21_41,HistoryOfEarth,GzelianGSA2009,2009,
Asselian,inScheme,Age,299,unspecified,297,unspecified,GSA2009,05_41_33_61_33_44,HistoryOfEarth,AsselianGSA2009,2009,
Sakmarian,inScheme,Age,297,unspecified,284,unspecified,GSA2009,05_41_33_61_33_43,HistoryOfEarth,SakmarianGSA2009,2009,
Artinskian,inScheme,Age,284,unspecified,276,unspecified,GSA2009,05_41_33_61_33_42,HistoryOfEarth,ArtinskianGSA2009,2009,
Kungurian,inScheme,Age,276,unspecified,271,unspecified,GSA2009,05_41_33_61_33_41,HistoryOfEarth,KungurianGSA2009,2009,
Roadian,inScheme,Age,271,unspecified,268,unspecified,GSA2009,05_41_33_61_32_33,HistoryOfEarth,RoadianGSA2009,2009,
